Store,Date,IsHoliday,Weekly_Sales,Sales_Avg_For_Date,Weekly_Sales_Adjusted,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,bin_unemp,bin_fuel
1,2010-01-10,False,1453329.5,938663.9082222221,514665.5917777779,A,151315,71.89,2.603,,,,,,211.6719895,7.838,"(7.0, 8.0]","(2.6, 2.7]"
1,2010-02-04,False,1594968.28,1120529.5835555554,474438.6964444446,A,151315,62.27,2.719,,,,,,210.8204499,7.808,"(7.0, 8.0]","(2.7, 2.8]"
1,2010-02-07,False,1492418.1400000001,1087055.211111111,405362.92888888903,A,151315,80.91,2.669,,,,,,211.2235333,7.787,"(7.0, 8.0]","(2.6, 2.7]"
1,2010-02-19,False,1611968.17,1072822.084,539146.0859999999,A,151315,39.93,2.514,,,,,,211.2891429,8.106,"(8.0, 9.0]","(2.5, 2.6]"
1,2010-02-26,False,1409727.59,977079.3584444445,432648.2315555556,A,151315,46.63,2.561,,,,,,211.3196429,8.106,"(8.0, 9.0]","(2.5, 2.6]"
1,2010-03-09,False,1540163.53,1048761.2802222222,491402.2497777778,A,151315,81.21,2.577,,,,,,211.5312479,7.787,"(7.0, 8.0]","(2.5, 2.6]"
1,2010-03-12,False,1548033.78,1109089.5084444445,438944.2715555555,A,151315,49.27,2.708,,,,,,211.607193,7.838,"(7.0, 8.0]","(2.7, 2.8]"
1,2010-03-19,False,1472515.79,999754.992,472760.79800000007,A,151315,54.58,2.72,,,,,,211.215635,8.106,"(8.0, 9.0]","(2.7, 2.8]"
1,2010-03-26,False,1404429.92,980754.69,423675.23,A,151315,51.45,2.732,,,,,,211.0180424,8.106,"(8.0, 9.0]","(2.7, 2.8]"
1,2010-04-06,False,1615524.71,1115300.9582222223,500223.7517777777,A,151315,80.69,2.705,,,,,,211.1764278,7.808,"(7.0, 8.0]","(2.7, 2.8]"
1,2010-04-16,False,1466058.28,1004081.4906666667,461976.7893333334,A,151315,66.32,2.808,,,,,,210.4887,7.808,"(7.0, 8.0]","(2.8, 2.9]"
